News_title,Sentiment(MaxEntropy),Sentiment(VADER),Sentiment(SparkNLP)
Malaysia's GDP Expected To Expand By Up To 6.0 Pct In 2022,2,1,1
Kenanga expects Malaysia's GDP to expand by up to 6.0 pct in 2022,2,1,1
Most industries not ready for minimum wage hike,2,0,0
Political stability helps strengthen short & long term flood governance,0,1,1
"Weaker ringgit can boost tourism, says Malaysian Employers Federation",0,0,1
The number of unemployed in Malaysia is decreasing,0,1,0
OPR review curbs inflationary pressures,0,0,1
MTUC urges the full implementation of the 1955 Work Act starting September 1,0,2,1
"Malaysia's unemployment rate down to 3.8% in June, lowest since Covid-19 pandemic struck | The Edge Markets",0,0,0
CPI alone may not be the best inflation gauge for Malaysia,0,0,1
Malaysia's gross fixed capital formation recorded RM278.7 billion,0,0,1
Malaysia's Gross Fixed Capital Formation to hit RM278.7 billion in 2021 - Statistics,0,0,0
"Stories That Caught Our Attention; Global Credit Outlook More Negative This Year, US Economy Dwindled Worse-Than Expected 1.6% Last Quarter As Recession Fears Heighten And Malaysian Producer Price Index Record High In May",0,0,1
"After the subsidy was abolished, the M40 group and SMEs did not get any help",0,0,0
Food Insecurity: Where we went wrong (Part 1),0,0,0
The urgent case for climate crisis mitigation in the National Recovery Plan,0,0,0
Shift in consumer purchasing behaviour as inflation hits,0,2,0
Consumer purchasing behavior is declining following inflation,0,2,1
Consumer purchasing behavior is declining following inflation,0,2,1
Shift in consumer purchasing behaviour as inflation hits,0,2,0
Consumer purchasing behavior is declining following inflation,0,2,1
Shift in consumer purchasing behaviour as inflation hits,0,2,0
Consumer purchasing behavior is declining following inflation,0,2,1
"From ringgit crash to bond rout . What's next, Mr Finance Minister",0,0,1
"Higher minimum wage worsens unemployment, inflation? Not necessarily.",0,0,0
"Minimum wage causes unemployment, high inflation? Not necessarily",0,0,0
Evidence PM Failed to Restore Economy,0,0,0
"The country's economy is projected to be good, the PM denies failing to restore the economy",0,0,1
"National Economy On Good Projection, PM Denies Failing To Restore Economy",0,0,0
"The country's economy is projected to be good, the PM denies failing to restore the economy",0,0,1
"The country's economy is projected to be good, the PM denies failing to restore the economy",0,0,1
"The country's economy is projected to be good, the PM denies failing to restore the economy",0,0,1
"The national economy is projected to be good, PN denies failing to restore the economy",0,0,0
"Country's Poverty Rate Has Decreased Significantly, Parliament",0,0,1
Fresh graduates worst hit as minimum wage debate continues,0,0,0
The State of the Nation: Malaysia's continuous struggle with foreign labour,0,0,0
The State of the Nation: Malaysia's continuous struggle with foreign labour,0,0,0
"Malaysia's jobless rate in 4Q21 fell to lowest since Covid-19, says DOSM",0,0,0
"Malaysia's jobless rate in 4Q21 fell to lowest since Covid-19, says DOSM",0,0,0
Nusantara: Boon or bane for Malaysia,0,2,1
RM6.1 bil loss for country after nationwide floods: DOSM,0,0,1
Malaysia incurs loss of RM6.1 billion following nationwide floods,0,0,0
Malaysia incurs loss of RM6.1 bln following nationwide floods - DOSM,0,0,0
"Dec 2021 floods cost RM6.1 billion in losses, Statistics Dept says",0,0,0
Malaysia incurs loss of RM6.1b following nationwide floods - DOSM,0,0,0
"Govt considering aid in the form of special grants for MSMEs, informal traders affected by flood",0,1,1
"Govt considering aid in the form of special grants for micro SMEs, informal traders affected by flood",0,1,1
Govt considering aid in the form of special grants for MSMEs affected by flood,0,1,1
"Govt considering aid in the form of special grants for MSMEs, informal traders affected by flood",0,1,1
KDEBWM: Elevating Malaysia's Waste Management Landscape To A Global Standard,0,0,1
Eradicating child poverty top priority,0,0,0
Flood Involves Losses of RM5.3 to 6.5 billion,0,0,0
"Tok Pa: E-commerce, food delivery service gross merchandise value expanded nearly RM30b in 2021",0,0,1
"Tok Pa: E-commerce, food delivery service gross merchandise value expanded nearly RM30b in 2021",0,0,1
Underemployment remains a concern amid lowest unemployment rate,0,0,0
Malaysia's economy seen remaining steady going forward but analysts warn of potential headwinds,1,0,1
Malaysia's economy seen remaining steady going forward but analysts warn of potential headwinds,1,0,1
Malaysia's economy seen remaining steady going forward but analysts warn of potential headwinds,1,0,1
DoSM: Malaysia's 3Q GDP grows 14.2,1,2,1
"BNM may front-load more OPR hikes in 2023 to tackle core inflation, say economists",1,2,0
Economic Stability In Near Term Supported By Convincing Domestic Demand And Robust External Sector - DOSM,1,1,1
GE15: Health And Care Priorities For The New Government - Galen Centre,1,1,1
Altair Believes Budget 2023 Has A Key Role In Boosting Digital Adoption Among MSMEs,1,1,1
Malaysia's real GDP to grow 5.1% in 2022,1,2,1
Malaysia's real GDP to grow 5.1 pct in 2022 - DoSM,1,2,1
Malaysia's real GDP to grow 5.1 per cent in 2022 - DOSM,1,2,1
Malaysia's real GDP expected to see 5.1% growth,1,1,1
"Tourism industry generates RM197. 9bil GVATI in 2021, contributes 12.8% to GDP",1,2,1
"Seeking balanced development for Sabah, Sarawak",1,2,0
Signs of Sabah economy recovering,1,2,1
"Gross Domestic Product up by more than 1pc, showing signs of recovery: Drop in Sabah's population growth",1,0,0
"Sabah's economy saw gradual recovery, says Hajiji",1,2,0
"Census stats can help Sabah improve development plans, says Hajiji",1,1,1
"Sabah GDP up by more than 1 pct, economy recovering",1,2,1
Sabah's economy recovering gradually - CM,1,2,1
DOSM: Economic indicators point to continuous growth,1,1,1
DoSM: Economic indicators point to continuous growth,1,1,1
Guan Eng throws doubt on Malaysia's '8.9pc economic growth',1,1,0
"Guan Eng throws doubt on Malaysia's '8.9pc economic growth', asks if due to one-off EPF withdrawals worth RM44b",1,0,1
"Guan Eng throws doubt on Malaysia's '8.9pc economic growth', asks if due to one-off EPF withdrawals worth RM44b",1,0,1
'Very clear Malaysia no longer in crisis': BNM governor,1,1,1
"Very clear Malaysia no longer in crisis, says BNM governor",1,0,1
'Very clear Malaysia no longer in crisis' -- BNM Governor,1,0,1
"Tengku Zafrul: Malaysia able to manage price pressures, still room in fiscal space",1,0,1
"Malaysia able to manage price pressures, still room in fiscal space: Tengku Zafrul",1,0,1
"Tengku Zafrul: Malaysia able to manage price pressures, still room in fiscal space",1,0,1
"Malaysia able to manage price pressures, still room in fiscal space -- Tengku Zafrul",1,0,1
"GDP Stands At 1.39 Trillion For 2021, With States Recording Average Growth Of 3.1%: DOSM",1,1,1
Convincing economic recovery outlook,1,1,1
CM sees positive economic outlook for Sabah as tourist arrivals rise by 442 per cent,1,1,1
Zafrul: No risks of a recession,1,0,0
Zafrul: No risks of a recession,1,0,0
Encouraging GDP Growth Will Strengthen Economy In Q2,1,1,1
Malaysia's 2022 GDP could grow 5.7 pct despite IMF's downgrade,1,2,1
Malaysia's 2022 GDP could grow 5.7 pct despite IMF's global growth downgrade,1,0,1
Sustainable Investment Strategies for SMEs,1,2,1
Analysts expect GDP growth to wane in the next six months,1,1,1
Communications minister: Malaysia Digital initiative shows country's readiness to be at forefront of digital economy,1,1,1
Penang expects further GDP growth in 2022 after last year's record high,1,1,1
"All states record positive growth, 5 states outperform national growth rate, says chief statistician",1,1,1
Penang expects further GDP growth in 2022 after last year's record high,1,1,1
"All states record positive growth, five outperform national growth rate - DOSM",1,1,1
"All states record positive growth, 5 states outperform national growth rate: Chief statistician",1,1,1
"All states record positive growth, 5 states outperform national growth rate: Chief statistician",1,1,1
"Priority for food security, Penang govt urged",1,1,1
"Give priority to food security, Penang govt urged",1,1,1
"Give priority to food security, Penang govt urged",1,1,1
Malaysia's economy to continue recovery momentum this year - Tengku Zafrul,1,2,1
"Malaysia's economy to continue recovery momentum this year, says",1,2,1
"Malaysia's economy to continue recovery momentum this year, says",1,2,1
Tengku Zafrul: Malaysia's economy to continue recovery momentum this year,1,2,1
Malaysia's economy to continue recovery momentum this year - Tengku Zafrul,1,2,1
Malaysia's economy to continue recovery momentum this year - Tengku Zafrul,1,2,1
Malaysia's economy to continue recovery momentum this year: Tengku Zafrul,1,2,1
Malaysia's economy grew 5% in 1Q22 from a year earlier,1,2,1
"Minimum wage: Onus on govt to support struggling SMEs, rights groups say",1,0,1
"The floor wage debate: Onus on govt to support struggling SMEs, rights groups say as data shows small businesses grew by over 5pc annually since 2013",1,0,1
"The floor wage debate: Onus on govt to support struggling SMEs, rights groups say as data shows small businesses grew by over 5pc annually since 2013",1,0,1
E-wallet usage increased by 131% in 2020,1,1,1
e-wallet usage increased by 131% in 2020,1,1,1
e-wallet usage increased by 131 pct in 2020,1,1,1
Minister: E-wallet usage in Malaysia increased by 131pc in 2020,1,1,1
E-wallet usage increased by 131 pct in 2020,1,1,1
Slower economic growth expected for Malaysia,1,1,1
"Malaysia on track to achieve 2022 economic targets, says PM Ismail Sabri",1,2,1
"Malaysia on track to achieve 2022 economic targets, says PM Ismail Sabri",1,2,1
Malaysia on track to achieve 2022 economic targets: PM,1,2,1
"Malaysia on track to achieve 2022 economic targets, says PM Ismail Sabri",1,2,1
"Malaysia on track to achieve 2022 economic targets, says PM Ismail Sabri",1,2,1
DOSM optimistic Malaysia's economy will continue to recover in 2022,1,1,1
Brighter outlook for Malaysia's property market but headwinds remain,1,1,1
DOSM optimistic Malaysia's economy will continue to recover in 2022,1,1,1
Stats Dept optimistic Malaysia's economy will continue to recover in 2022,1,1,1
DoSM optimistic Malaysia's economy will continue to recover in 2022,1,1,1
Stats Dept optimistic Malaysia's economy will continue to recover in 2022,1,1,1
DOSM optimistic Malaysia's economy will continue to recover in 2022,1,1,1
"Malaysia on good track to achieve its economic projection targets, says Ismail Sabri",1,1,1
Malaysia on good track to achieve its economic projection targets,1,1,1
Malaysia on good track to achieve its economic projection targets -- Ismail Sabri,1,1,1
"The need for economic, political stability",1,2,1
Govt to focus on lowering jobless rate by providing more employment opportunities - Tengku Zafrul,1,1,0
Tengku Zafrul: Govt to focus on lowering jobless rate by providing more employment opportunities,1,1,0
Govt to focus on lowering jobless rate by providing more employment opportunities - Tengku Zafrul,1,1,0
"Govt maintains 5.5-6.5pc GDP growth forecast for 2022, says Tengku Zafrul",1,1,1
"M'sian economy to grow 5.5% to 6.5% this year, Tengku Zafrul projects",1,2,1
"Govt maintains 5.5-6.5pc GDP growth forecast for 2022, says Tengku Zafrul",1,1,1
Govt maintains 5.5-6.5 pct GDP growth forecast for 2022: Tengku Zafrul,1,1,1
Govt maintains 5.5-6.5 pct GDP growth forecast for 2022,1,1,1
"Govt maintains 5.5-6.5pc GDP growth forecast for 2022, says Tengku Zafrul",1,1,1
Tengku Zafrul: Govt maintains 5.5-6.5% GDP growth forecast for 2022,1,1,1
Govt maintains 5.5-6.5% GDP growth forecast for 2022,1,1,1
Govt maintains 5.5-6.5 pct GDP growth forecast for 2022 - Tengku Zafrul,1,1,1
Bursa Malaysia likely to continue uptrend next week on improved sentiment,1,1,1
Bursa Malaysia expected to continue uptrend next week on improved sentiment,1,1,1
Govt maintains 5.5-6.5% GDP growth forecast for 2022 - Tengku Zafrul,1,1,1
FBM KLCI higher at midday on improved 4Q GDP result,1,0,1
MIDF Research expects Malaysia's IPI to grow 4.3% in 2022,1,2,1
MIDF Research expects Malaysia's IPI to grow 4.3 pct in 2022,1,2,1
MIDF Research expects Malaysia's industrial production index to grow 4.3pc in 2022,1,2,1
A new era of international economic cooperation,1,2,1
New light for job seekers,2,2,0
Weekly Economic Analysis by MANOKARAN MOTTAIN,2,2,1
100-day Aspirasi Keluarga Malaysia - a case of letting the fox guard the henhouse,2,2,1
Malaysia needs to revisit agri sector,2,2,1
"Stats Dept: Malaysia needs to revisit agriculture sector, invest in modernisation",2,2,1
"Stats Dept: Malaysia needs to revisit agriculture sector, invest in modernisation",2,2,1
"Malaysia needs to revisit agriculture sector, invest in modernisation - DOSM",2,2,1
More young agropreneurs needed as agriculture industry evolves,2,2,0
More young agropreneurs needed as agriculture industry evolves,2,2,0
Budget 2022: A colour-blind budget for all in Keluarga Malaysia,2,2,0
A colour-blind budget for all in Keluarga Malaysia,2,2,0
Budget 2022: A colour-blind budget for all in Keluarga Malaysia,2,2,0
Budget 2022: A colour-blind budget for all in Keluarga Malaysia,2,2,0
MALAYSIAN ECONOMY INCREASED 3.0,2,1,1
A colour-blind Budget 2022,2,2,0
Melaka's GDP contracted by 5.9 percent due to COVID-19,2,2,1
"5G to push Malaysia's GDP by RM122bil, says Ernst & Young",2,2,1
"5G to push Malaysia's GDP by RM122bil, says Ernst & Young",2,2,1
"5G to push Malaysia's GDP by RM122bil, says Ernst & Young",2,2,1
Budget 2022: Summary For Sabah Traders & Entrepreneurs,2,2,1
Budget 2022: What's On The Experts Wishlist,2,2,0
"The Week Ahead: Budget 2022, G20 summit, Japan's election in focus",2,2,1
Post-Covid growth - address barriers to business digital transformation,2,1,1
'12MP should promote new forms of employment',2,1,2
Mid-tier companies' funding needs increasingly in focus,2,2,0
Extend social security to those self-employed,2,1,1
State DAP starts petition for state govt to include all SMEs in BKSS 7.0,2,2,1
Maybank targets a surge in SME participation in the digital platform through Maybank2u Biz,2,2,1
"The Week Ahead: 12MP, August trade data and final iteration of US 2Q GDP in focus",2,2,1
Tourism receipts fell 71.2 percent to RM52.4 billion last year - Chief Statistician,2,2,0
Malaysia's Tourism Receipts Plunge 71.2 Percent To 12.51 Billion USD,2,2,1
"All over for SMEs if economy doesn't open fully by October, says Guan Eng",2,2,1
"All over for SMEs if economy doesn't open fully by October, says Guan Eng",2,2,1
6 key takeaways from the economy in Q2,2,2,1
"All over for SMEs if economy doesn't open fully by October, says Guan Eng",2,2,1
RM200m allocation for Bumiputera Supply Chain Financing Programme,2,2,1
Ringgit extends gains to end higher against US dollar,2,1,1
Ringgit extends gains to end higher against US dollar,2,1,1
MATRADE organizes cross-border online trading meetings,2,2,1
MATRADE hosts cross-border online trade meetings in Bangkok to boost e-commerce,2,1,1
MATRADE organizes a cross-border online trade meeting for the e-commerce floor,2,2,1
Fitch Solutions predicts 0% GDP growth for 2021,2,1,1
Stats Dept: Govt's final consumption expenditure expands 9pc in Q2,2,1,1
Stats Dept: Govt’s final consumption expenditure expands 9pc in Q2,2,1,1
Stats Dept: Govt's final consumption expenditure expands 9pc in Q2,2,1,1
Govt's final consumption expenditure expands 9.0 pct in Q2,2,1,1
Fate of main businesses in the tourism industry still hangs in balance By YS Chan,2,2,1
Fate of main businesses in the tourism industry still hangs in balance,2,2,1
Average income is expected to increase this year - Department of Statistics,2,1,1
All states face challenges in dealing with the impact of Covid-19: DOSM,2,1,0
Stats Dept: Eight states' GDP shrunk at a smaller rate compared to Malaysia's last year amid pandemic,2,2,0
Stats Dept: Eight states' GDP shrunk at a smaller rate compared to Malaysia's last year amid pandemic,2,2,0
Stats Dept: Eight states' GDP shrunk at a smaller rate compared to Malaysia amid Covid-19 last year,2,2,1
Stats Dept: Eight states’ GDP shrunk at a smaller rate compared to Malaysia amid Covid-19 last year,2,2,1
Stats Dept: Eight states' GDP shrunk at a smaller rate compared to Malaysia amid Covid-19 last year,2,2,1
SME GDP shrank lower,2,0,1
The Importance of Islamic Finance During the Pandemic,2,1,0
GFCF contracts 14.5pc to RM281.1b in 2020: DoSM,2,2,1
GFCF contracts 14.5 pct to RM281.1 bln in 2020 -- DOSM,2,2,1
The government's stimulus package is not part of the M40,2,2,1
"Introduce 'windfall tax', tax wealthy companies",2,1,1
"Introduce 'windfall tax', tax wealthy companies",2,1,1
"50 years after the NDP, wealth and ethnicity are divided",2,1,1
Where have all our Billions gone to,2,2,1
2021 GDP Outlook Will Be Reviewed - DOSM,2,2,1
2021 GDP outlook will be reviewed - DOSM,2,2,1
14 federal territories and states including Sabah record negative 2020 growth,2,0,1
Stats Dept: Eight states record better growth performance in 2020,2,1,1
Eight states record better growth performance than national GDP in 2020 - DOSM,2,1,1
8 states have a better economic performance record,2,1,1
8 states with better economic performance records - Kuala Lumpur Post,2,1,1
Stats Dept: Eight states record better growth performance in 2020,2,1,1
The new target of the national economy is known this August,2,2,1
Eight states record better growth performance in 2020 - DOSM,2,1,1
How has COVID-19 affected our tourism industry?,2,0,1
8 States Record Better Economic Performance,2,1,1
"Six states are largest contributor to GDP, despite higher contraction",2,2,1
My Say: Towards a regional investment hub amid Malaysia's digital transformation,2,2,1
A look at the Covid-19 exit plan — Paolo Casadio and Geoffrey Williams,2,2,1
Selangor to get own Covid-19 vaccines in batches by end of June,2,2,1
Taking CSR to a higher level,2,2,0
"Selangor Sultan says surprised state received over 600,000 Covid-19 vaccine doses only so far, when it has 6.5 million residents",2,1,0
7.3 million jobs at risk as SMEs teeter on edge of collapse,2,0,0
Malaysia's LI rises 17.3pct to 113.3 points in March: DOSM,2,2,1
"CGS-CIMB Research, UOB Malaysia expect Bank Negara to maintain OPR at 1.75pc",2,2,1
Researchers expect no changes to OPR,2,0,0
"CGS-CIMB Research, UOB Malaysia expect Bank Negara to maintain OPR at 1.75",2,2,1
"CGS-CIMB Research, UOB Malaysia expect Bank Negara to maintain OPR at 1.75 per cent",2,2,1
Statistics Dept: Q1 labour productivity in Malaysia sees marginal decrease of 0.4pc,2,2,1
Q1 labour productivity sees marginal decrease of 0.4 per cent - DoSM,2,2,0
Is Malaysia 2021 Growth Prospect Dimmed By Another Lockdown,2,1,1
MCO 3.0 not expected to significantly impact economic growth,2,1,1
UM Don calls on government to choose quality FDIs over quantity,2,2,0
Labour market shows cheering signs: Economists,2,1,0
Finexus Cards appointed as one of Selangor's digital service providers,2,2,1
"Online retail sales almost doubled during pandemic, says BNM",2,2,1
"The Week Ahead: Trade-fuelled week, Bank Negara 2020 annual report in focus",2,2,1
World Water Day 2021 - How much do we value water,2,1,1
"ITP: Industrialisation, economic value chain",2,1,1
Job creation remains a challenge,2,1,0
Re-envisioning FDI for the next lap post-pandemic,2,2,1
Re-envisioning FDI For The Next Lap,2,2,1
Ministry preparing paper on anti-cyberbullying laws,2,2,1
KKMM preparing Cabinet paper on anti-cyberbullying laws,2,2,1
KKMM preparing cabinet paper on anti-cyberbullying laws,2,2,1
KKMM preparing cabinet paper on anti-cyberbullying laws,2,2,1
Communications Ministry preparing cabinet paper on anti-cyberbullying laws,2,2,1
KKMM preparing cabinet paper on anti-cyberbullying laws,2,2,1
Communications Ministry preparing cabinet paper on anti-cyberbullying laws,2,2,1
Matching grants can boost EPF funds,2,1,1
"DOSM: 73,000 jobs created in 2020",2,1,1
"Statistics Dept: 73,000 jobs created in 2020",2,1,0
"Statistics Dept says 73,000 jobs created in 2020",2,1,0
MAPPING OUT THE COUNTRY'S DIGITAL FUTURE,2,2,1
"Be transparent on economic performance figures, PKR Youth tells Zafrul",2,2,1
Fourth quarter 2020 GDP contraction within expectations due to CMCO extension - Economists,2,2,1
Economists: Malaysia's Q4 2020 GDP contraction within expectations due to CMCO extension,2,2,1
Pandemic 2020: Malaysia's economy contracts -5.6 pct,2,2,1
COVID-19 restrictions: Malaysia's fourth quarter GDP contracted 3.4 percent,2,2,0
Malaysia's economy contracts -5.6% in 2020,2,2,1
New form of fiscal assistance needed,2,2,1
Can Malaysia ever move away from the middle-income trap,2,0,1
Saving travel businesses and jobs,2,2,1
Saving travel businesses and jobs,2,2,1
Saving businesses in the travel industry and the jobs around it,2,2,1
"New strategy to eradicate hardcore poverty being implemented, says Mustapa",0,0,0
Everyone have to play their role in breaking COVID-19 chain -- FMM,0,1,1
"FMM: RM2m fine on firms for Covid-19 offences 'too punitive', opens doors to abuse",0,0,0
COVID-19 still the nemesis of economic growth in 2021,0,1,1
Covid-19 still the nemesis of economic growth in 2021,0,1,1
Covid-19 still the nemesis of economic growth in 2021,0,1,1
