,No.,Date,Media,News_title,Sentiment(MaxEntropy),positive_word(VADER),negative_word(VADER),Year,Month,Day,Vader_Score,Sentiment(VADER),Sentiment(SparkNLP),Score(SparkNLP)
13,14,2022-10-04 00:00:00,Business Today,Digitalisation Imperatives for SMEs in Malaysia,2,[],[],2022,October,04,0.0,2,1,0.9999999999999956
14,15,2022-10-04 00:00:00,Newsmalaysiamsn,Malaysians use credit cards more and borrow more,2,"['credit', 0.3818]",[],2022,October,04,0.382,1,1,0.99999977105862
15,16,2022-09-30 00:00:00,The Malay Mail Online,Stats Dept sees Malaysia's real GDP expanding 5.1pc in 2022,2,[],[],2022,September,30,0.0,2,1,0.9999999996045622
16,17,2022-09-28 00:00:00,Selangor Journal,"Tourism industry generates RM197.9 bln GVATI in 2021, contributes 12.8 pct to GDP - DOSM",2,[],[],2022,September,28,0.0,2,1,0.9999999999880314
17,18,2022-09-28 00:00:00,Business Today,DOSM: Domestic Tourism Dominated With 97.4% To Tourism Expenditure In 2021,2,[],[],2022,September,28,0.0,2,1,0.9999973943959
18,19,2022-09-22 00:00:00,i3investor,"Seeking balanced development for Sabah, Sarawak By Mohammad Zulhafiy Zol Bahari",2,[],[],2022,September,22,0.0,2,0,-0.99977706946
19,20,2022-09-19 00:00:00,Bernama,Budget 2023 wishlist : SMEs call for more automation and digitalisation grants,2,"['grants', 0.2263]",[],2022,September,19,0.226,1,1,0.9999999999961631
20,21,2022-09-19 00:00:00,Thesundaily,Budget 2023 wishlist : SMEs call for more automation and digitalisation grants,2,"['grants', 0.2263]",[],2022,September,19,0.226,1,1,0.9999999999961631
21,22,2022-09-17 00:00:00,i3investor,Sabah and Sarawak: The journey to a more inclusive Malaysia (Part 2) By Amanda Yeo,2,[],[],2022,September,17,0.0,2,1,0.999999988430425
22,23,2022-09-16 00:00:00,Focus Malaysia,Sabah and Sarawak: The journey to a more inclusive Malaysia (Part 2),2,[],[],2022,September,16,0.0,2,1,0.999999985096153
23,24,2022-09-12 00:00:00,Kosmo,There are more men in Melaka,2,[],[],2022,September,12,0.0,2,1,0.9999999999982286
24,25,2022-09-12 00:00:00,Utusan,The people of Melaka are more male,2,[],[],2022,September,12,0.0,2,1,0.991115199
25,26,2022-09-08 00:00:00,The Star,PARTNER IN MSMEs' DIGITAL JOURNEY,2,[],[],2022,September,08,0.0,2,1,1.0
26,27,2022-08-29 00:00:00, The Star,PARTNER IN MSMEs' DIGITAL JOURNEY,2,[],[],2022,August,29,0.0,2,1,1.0
27,28,2022-08-18 00:00:00,Theedgemalaysia,Malaysia's labour productivity up 5.5% in Q2 2022 - DOSM | The Edge Markets,2,[],[],2022,August,18,0.0,2,1,0.99966509759
28,29,2022-08-18 00:00:00,Bernama,Malaysia's labour productivity 5.5 pct up in Q2 2022 - DoSM,2,[],[],2022,August,18,0.0,2,1,0.9999945312355
29,30,2022-08-18 00:00:00,Sarawak Voice,"Sarawak plans to increase the area of ​​state assembly, parliament",2,[],[],2022,August,18,0.318,1,1,0.9999999999816905
30,31,2022-08-14 00:00:00,Theborneopost,More rate hikes ahead after GDP's surprise upside in 2Q,2,"['surprise', 0.2732]",[],2022,August,14,0.273,1,1,0.999999981728102
31,32,2022-08-13 00:00:00,New Sarawak Tribune,Core inflation is projected at upper range,2,[],[],2022,August,13,0.0,2,0,-0.99969434118
32,33,2022-08-13 00:00:00, Bernama,More rate hikes ahead after GDP's surprise upside in Q2,2,"['surprise', 0.2732]",[],2022,August,13,0.273,1,1,0.999999997528139
33,34,2022-08-12 00:00:00,The Star,Ringgit ends higher against US dollar for fourth consecutive day,2,[],[],2022,August,12,0.0,2,1,0.999999999555894
34,35,2022-08-12 00:00:00,Selangor Journal,Ringgit ends higher against US dollar for fourth consecutive day,2,[],[],2022,August,12,0.0,2,1,0.999999999555894
35,36,2022-08-12 00:00:00,The Star,Core inflation forecast at upper range of 2% to 3% in 2022,2,[],[],2022,August,12,0.0,2,0,-0.75402742
36,37,2022-08-12 00:00:00, Bernama,BNM: Core inflation forecast at upper range of 2-3 pct in 2022,2,[],[],2022,August,12,0.0,2,1,0.99999946940257
37,38,2022-08-12 00:00:00, i3investor,Core inflation forecast at upper range of 2% to 3% in 2022,2,[],[],2022,August,12,0.0,2,0,-0.75402742
38,39,2022-08-05 00:00:00,Theborneopost,Malaysia has fiscal space to manage price pressures,2,[],"['pressures', -0.3182]",2022,August,05,-0.318,0,1,0.9999999940610436
39,40,2022-08-05 00:00:00, Theedgemalaysia,Tengku Zafrul: Malaysia's inflation may reach 'around 11%' in subsidies' absence | The Edge Markets,2,"['reach', 0.0258]",[],2022,August,05,0.026,1,1,0.99999973956383
40,41,2022-07-27 00:00:00, Bernama,SME's GDP 1.0 pct up in 2021 but slower than Malaysia's 3.1 pct -- DoSM,2,[],[],2022,July,27,0.0,2,1,0.999999995348336
41,42,2022-07-26 00:00:00, Business Today,Compensation Of Employees Contributed 34.8% Of The Nominal GDP,2,[],[],2022,July,26,0.0,2,1,0.9999999999752507
42,43,2022-07-26 00:00:00,Bernama,"Compensation of employees contributes 34.8 pct to the nominal GDP, says DoSM",2,[],[],2022,July,26,0.0,2,1,0.99999972576827
43,44,2022-07-26 00:00:00, i3investor,GFCF Declined Marginally to RM278.7b in 2021 - DOSM,2,[],[],2022,July,26,0.0,2,0,-0.9999999998672364
44,45,2022-07-25 00:00:00,Theedgemalaysia,GFCF declined marginally to RM278.7b in 2021 - DOSM | The Edge Markets,2,[],[],2022,July,25,0.0,2,1,0.9877083206
45,46,2022-07-25 00:00:00,Business Today,Gross Fixed Capital Formation In 2021 Declines Marginally TO RM278.7 Billion In 2021-DOSM,2,[],"['Gross', -0.4767]",2022,July,25,-0.477,0,0,-0.999999992177634
46,47,2022-07-25 00:00:00,The Malay Mail Online,Stats Dept: Malaysia's Gross Fixed Capital Formation declines marginally to RM278.7b in 2021,2,[],"['Gross', -0.4767]",2022,July,25,-0.477,0,0,-0.999822830335
47,48,2022-07-25 00:00:00,The Star,GFCF declines marginally to RM278. 7bil in 2021,2,[],[],2022,July,25,0.0,2,0,-0.9999840415485
48,49,2022-07-25 00:00:00, Bernama,GFCF declines marginally to RM278.7 bln in 2021 -- DoSM,2,[],[],2022,July,25,0.0,2,0,-0.9999999998606838
49,50,2022-07-25 00:00:00, The Malaysian Reserve,GFCF recorded RM278.7b in 2021,2,[],[],2022,July,25,0.0,2,1,0.9999998318937801
50,51,2022-07-21 00:00:00,Thesundaily,Private household size in Kelantan the highest in Malaysia: DOSM,2,[],[],2022,July,21,0.0,2,1,0.999967990994
51,52,2022-07-21 00:00:00,Bernama,Private household size in Kelantan the highest in Malaysia - DOSM,2,[],[],2022,July,21,0.0,2,1,0.999967990994
52,53,2022-07-21 00:00:00,Thesundaily,"Kelantan's average household size is 4.9 people, the highest in Malaysia: DOSM",2,[],[],2022,July,21,0.0,2,0,-0.9947822222
53,54,2022-07-21 00:00:00,Bernama,"Kelantan's average household size is 4.9 people, the highest in Malaysia - DoSM",2,[],[],2022,July,21,0.0,2,0,-0.9947822222
54,55,2022-07-21 00:00:00,Sinarharian,"The average household size in Kelantan is 4.9 people, the highest in Malaysia",2,[],[],2022,July,21,0.0,2,1,0.9994193661
55,56,2022-07-21 00:00:00, i3investor,"Kelantan has largest private household size in Malaysia, says Statistics Dept",2,[],[],2022,July,21,0.0,2,1,0.999995679958
56,57,2022-07-20 00:00:00,Selangor Journal,"Malaysia should continue to revitalise economy, increase competitiveness",2,"['increase', 0.3182]",[],2022,July,20,0.318,1,1,0.999999998769182
57,58,2022-07-20 00:00:00, Bernama,"Malaysia should continue to revitalise economy, increase competitiveness -- IMD",2,"['increase', 0.3182]",[],2022,July,20,0.318,1,1,0.999999996874667
58,59,2022-07-08 00:00:00,The Malay Mail Online,MIDF Research: Malaysia's retail trade sales set to expand by +10.5pc,2,"['expand', 0.3182]",[],2022,July,08,0.318,1,1,0.9999999999633954
59,60,2022-07-08 00:00:00, New Sarawak Tribune,Pushing batik production creates jobs,2,"['creates', 0.2732]",[],2022,July,08,0.273,1,1,0.9999751651165
60,61,2022-07-03 00:00:00,Theedgemalaysia,"Malaysia Digital shows country's readiness to be at forefront of digital economy, says Annuar",2,"['readiness', 0.25]",[],2022,July,03,0.25,1,1,0.9999999999999974
61,62,2022-07-02 00:00:00,Sinarharian,The halal industry has a place in society,2,[],[],2022,July,02,0.0,2,0,-0.9999962397708
62,63,2022-06-30 00:00:00, Kosmo,The national economy is expected to increase this year,2,[],[],2022,June,30,0.318,1,1,0.9999999999999457
63,64,2022-06-15 00:00:00,Twentytwo13,Malaysia's sports industry contributed RM18.8b in 2017 - that's just the tip of the iceberg,2,[],[],2022,June,15,0.0,2,1,0.999999981522448
64,65,2022-06-15 00:00:00,The Malaysian Reserve,Malaysia experiences boom in non-exec labour market post-pandemic,2,[],[],2022,June,15,0.0,2,1,0.999999956843844
65,66,2022-06-14 00:00:00, Bernama,Govt to foster agriculture sector to expedite structural transformation,2,[],[],2022,June,14,0.0,2,1,0.9999999994886206
66,67,2022-06-12 00:00:00, Theborneopost,'Holistic approach needed for structural reforms',2,[],[],2022,June,12,0.0,2,1,0.887345728
67,68,2022-06-12 00:00:00,Thesundaily,"Holistic approach needed for structural reforms, GST reinstatement: Economists",2,[],[],2022,June,12,0.0,2,0,-0.43258482000000004
68,69,2022-06-12 00:00:00,Selangor Journal,"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,[],[],2022,June,12,0.0,2,0,-0.43258482000000004
69,70,2022-06-12 00:00:00,The Malay Mail Online,"Holistic approach needed for reinstatement of GST, structural reforms, Putrajaya told",2,[],[],2022,June,12,0.0,2,0,-0.99999861909576
70,71,2022-06-12 00:00:00, Bernama,"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,[],[],2022,June,12,0.0,2,0,-0.43258482000000004
71,72,2022-06-12 00:00:00, Bharian,"GST level of long-term economic resilience, ringgit",2,[],[],2022,June,12,0.0,2,1,0.9999999999420371
72,73,2022-06-12 00:00:00, Theedgemalaysia,"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,[],[],2022,June,12,0.0,2,0,-0.43258482000000004
73,74,2022-05-27 00:00:00, i3investor,"Holistic approach needed for structural reforms, GST reinstatement: Economists",2,[],[],2022,May,27,0.0,2,0,-0.43258482000000004
74,75,2022-05-27 00:00:00, Theedgemalaysia,Malaysia's economy expected to expand further after favourable performance in 1Q22 - DOSM,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.9999999977079514
75,76,2022-05-27 00:00:00,Thesundaily,Malaysia's economy expected to expand further after favourable performance in Q1 2022: DOSM,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.9999992918055199
76,77,2022-05-27 00:00:00,Bernama,Malaysia's economy expected to expand further after favourable performance in Q1 2022 -- DoSM,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.9999992918055199
77,78,2022-05-27 00:00:00, The Star,Malaysia's economy is expected to expand further after favourable performance in Q1 2022,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.9999999999690795
78,79,2022-05-27 00:00:00,Selangor Journal,Malaysia's economy expected to expand further after favourable performance in first quarter 2022,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.99999876095014
79,80,2022-05-27 00:00:00,i3investor,DOSM: Malaysia's economy expected to expand further after favourable performance in Q1 2022,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.9999999938546953
80,81,2022-05-27 00:00:00, i3investor,Stats Dept: Malaysia's economy expected to expand further after favourable performance in Q1 2022,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.9999999988269244
81,82,2022-05-24 00:00:00, New Sarawak Tribune,"SMA, LSD to create big data for state's land",2,"['create', 0.2732]",[],2022,May,24,0.273,1,1,0.9999999999999964
82,83,2022-05-24 00:00:00, Sarawak Voice,Let's move Sarawak's digital economy together,2,[],[],2022,May,24,0.0,2,1,0.9999999999999569
83,84,2022-05-24 00:00:00, Theborneopost,"Premier: SMA, Land and Survey building big data for land in Sarawak",2,[],[],2022,May,24,0.0,2,1,0.9999999999999941
84,85,2022-05-24 00:00:00, Theedgemalaysia,Sarawak Premier calls on Sarawakians to mobilise digital economy,2,[],[],2022,May,24,0.0,2,1,0.9999999999316203
85,86,2022-05-23 00:00:00, Bernama,Sarawak Premier calls on Sarawakians to mobilise digital economy,2,[],[],2022,May,23,0.0,2,1,0.9999999999316203
86,87,2022-05-23 00:00:00, Bernama,The people must move the digital economy together - Premier Sarawak,2,[],[],2022,May,23,0.0,2,1,0.99999948518992
87,88,2022-04-23 00:00:00,Siakapkeli,Reasons Seven Days Paternity Leave Is Not Enough,2,[],[],2022,April,23,-0.052,0,0,-0.9999709545859999
88,89,2022-04-23 00:00:00, Thesundaily,Reasons why seven days paternity leave is not enough,2,[],[],2022,April,23,-0.052,0,0,-0.9998960774569999
89,90,2022-04-23 00:00:00,Selangorku,Reasons why seven days paternity leave is not enough,2,[],[],2022,April,23,-0.052,0,0,-0.9998960774569999
90,91,2022-04-13 00:00:00, Bernama,DOSM launches OpenDOSM as alternative to open data access,2,[],[],2022,April,13,0.0,2,1,0.9999999962486203
91,92,2022-04-13 00:00:00,Theedgemalaysia,RHB Research sees Tasco on track for record-breaking year,2,[],[],2022,April,13,0.0,2,1,0.99999997569916
92,93,2022-04-10 00:00:00,Business Today,Malaysia Targets RM77 Billion Revenue From International Tourists By 2025,2,[],[],2022,April,10,0.0,2,1,0.9826279560000001
93,94,2022-04-08 00:00:00,Dailyexpress,MDEC eyes over RM1t e-commerce income again,2,[],[],2022,April,08,0.0,2,0,-0.9999964563832999
94,95,2022-04-07 00:00:00,Theedgemalaysia,"Malaysia's e-commerce income can breach RM1 tril again this year, says MDEC",2,[],[],2022,April,07,0.0,2,0,-0.9999835816285
95,96,2022-04-07 00:00:00, Bernama,Malaysia's e-commerce income can breach RM1 trillion again this year - MDEC,2,[],[],2022,April,07,0.0,2,1,0.982067242
96,97,2022-04-07 00:00:00,Astro Awani,Malaysia's e-commerce income can breach RM1 trillion again this year - MDEC,2,[],[],2022,April,07,0.0,2,1,0.982067242
97,98,2022-04-07 00:00:00, The Malay Mail Online,MDEC: Malaysia's e-commerce income can breach RM1t again this year,2,[],[],2022,April,07,0.0,2,1,0.9999999986893162
98,99,2022-03-25 00:00:00,Theedgemalaysia,Is Malaysia entering a high inflation cycle,2,[],[],2022,March,25,0.0,2,1,0.9999999999973063
99,100,2022-03-16 00:00:00,Sarawak Voice,Covid-19 affects household income in Sarawak,2,[],[],2022,March,16,0.0,2,0,-0.9925828013000001
100,101,2022-03-15 00:00:00,Money Compass,Socso forsees job markets returning to pre-COVID levels soon,2,[],[],2022,March,15,0.0,2,1,0.99999999145317
101,102,2022-03-15 00:00:00,Selangor Journal,Socso expects job market to return to pre-pandemic level,2,[],[],2022,March,15,0.0,2,0,-0.9973923054
102,103,2022-03-15 00:00:00, Theborneopost,Socso expects job market to return to pre-pandemic level soon,2,[],[],2022,March,15,0.0,2,1,0.9996437070099999
103,104,2022-03-15 00:00:00,The Star,The need for fiscal reforms supersedes oil price windfall - Economists,2,[],[],2022,March,15,0.0,2,0,-0.9999945766443
104,105,2022-03-15 00:00:00, Bernama,Socso expects job market to return to pre-pandemic level,2,[],[],2022,March,15,0.0,2,0,-0.9973923054
105,106,2022-03-06 00:00:00,Dailyexpress,Political and economic stability must,2,[],[],2022,March,06,0.0,2,1,0.999970455944
106,107,2022-02-24 00:00:00, i3investor,Creating an environment to drive Malaysia's business forward By Amien Jamaluddin,2,"['Creating', 0.296]",[],2022,February,24,0.296,1,1,0.9999999999999982
107,108,2022-02-23 00:00:00, Focus Malaysia,What Johoreans need are economic and political stability,2,[],[],2022,February,23,0.0,2,0,-0.8717625800000001
108,109,2022-02-20 00:00:00,Business Today,Government Launches SemarakNiaga An RM40 Billion Business Financing Program,2,[],[],2022,February,20,0.0,2,1,0.99999906232153
109,110,2022-02-14 00:00:00,Business Today,"Govt Allocating RM4.8 Billion To Create 600,000 Jobs",2,"['Create', 0.2732]",[],2022,February,14,0.273,1,0,-0.9999847478745
110,111,2022-02-12 00:00:00,Astro Awani,Government maintains GDP projection of 5.5 percent to 6.5 percent for 2022 - Tengku Zafrul,2,[],[],2022,February,12,0.0,2,1,0.99965178983
111,112,2022-02-12 00:00:00, Bernama,Government maintains GDP projection of 5.5 percent to 6.5 percent for 2022 - Tengku Zafrul,2,[],[],2022,February,12,0.0,2,1,0.99965178983
112,113,2022-02-12 00:00:00,Utusan,'2021 economy smaller than PH's last year',2,[],[],2022,February,12,0.0,2,1,0.9998082986600001
113,114,2022-02-12 00:00:00, Utusan,"GDP in 2021 recorded 3.1%, the government's measures yielded results",2,[],[],2022,February,12,0.0,2,1,0.9999999974936435
114,115,2022-02-07 00:00:00, Focus Malaysia,"""The Malaysian Employers Federation is full of baloney!""",2,[],[],2022,February,07,0.0,2,0,-0.63773049
115,116,2022-02-04 00:00:00, Bernama,Govt taking bold decisions to put economy back in growth trajectory -- Juwai IQI,2,"['bold', 0.3818, 'growth', 0.3818]",[],2022,February,04,0.637,1,1,0.9999950009399999
116,117,2022-01-24 00:00:00, Business Today,Fast Track Your Career In Accountancy With AAT,2,[],[],2022,January,24,0.0,2,1,0.9999999999996738
117,118,2022-01-17 00:00:00, i3investor,Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,[],[],2022,January,17,0.0,2,1,0.999999999734665
118,119,2022-01-17 00:00:00,News Yahoo Malaysia,Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,[],[],2022,January,17,0.0,2,1,0.999999999734665
119,120,2022-01-17 00:00:00, The Malay Mail Online,Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,[],[],2022,January,17,0.0,2,1,0.999999999734665
120,121,2022-01-13 00:00:00, Selangor Journal,"E-commerce, food delivery services GMV expand by US$7 bln in 2021",2,"['expand', 0.3182]",[],2022,January,13,0.318,1,1,1.0
121,122,2022-01-13 00:00:00,Thesundaily,"E-commerce, food delivery services GMV expand by US$7b in 2021 - Mustapa",2,"['expand', 0.3182]",[],2022,January,13,0.318,1,1,0.9999999999999959
122,123,2022-01-13 00:00:00, Bernama,"E-commerce, food delivery services GMV expand by US$7 bln in 2021 - Mustapa",2,"['expand', 0.3182]",[],2022,January,13,0.318,1,1,1.0
123,124,2022-01-12 00:00:00, Thesundaily,Retail trade to expand 5.5% this year: MIDF Research,2,"['expand', 0.3182]",[],2022,January,12,0.318,1,1,0.9999999999999999
124,125,2022-01-11 00:00:00, Theedgemalaysia,"Retail trade to expand 5.5% in 2022, says MIDF Research",2,"['expand', 0.3182]",[],2022,January,11,0.318,1,1,0.999999991853606
125,126,2022-01-11 00:00:00, Bernama,Retail trade to expand 5.5 pct in 2022 - MIDF Research,2,"['expand', 0.3182]",[],2022,January,11,0.318,1,1,0.9999999999709251
126,127,2022-01-11 00:00:00, Nam News Network,Malaysia's GDP Expected To Expand By Up To 6.0 Pct In 2022,2,"['Expand', 0.3182]",[],2022,January,11,0.318,1,1,0.9999999998877109
127,128,2022-01-11 00:00:00, Bernama,Kenanga expects Malaysia's GDP to expand by up to 6.0 pct in 2022,2,"['expand', 0.3182]",[],2022,January,11,0.318,1,1,0.9999999985030721
128,129,2022-01-07 00:00:00,The Malaysian Reserve,Most industries not ready for minimum wage hike,2,"['ready', 0.3612]",[],2022,January,07,-0.334,0,0,-0.9999999989143538
129,1,2022-11-05 00:00:00,Dagangnews.Com,Political stability helps strengthen short & long term flood governance,0,[],[],2022,November,05,0.599,1,1,0.999999999988721
130,2,2022-10-11 00:00:00,Twentytwo13,"Weaker ringgit can boost tourism, says Malaysian Employers Federation",0,"['boost', 0.4019]","['Weaker', -0.4404]",2022,October,11,-0.052,0,1,0.9999780560179999
131,3,2022-10-11 00:00:00,Bharian,The number of unemployed in Malaysia is decreasing,0,[],[],2022,October,11,0.077,1,0,-0.99998497234
132,4,2022-09-09 00:00:00,Utusan,OPR review curbs inflationary pressures,0,[],[],2022,September,09,-0.318,0,1,0.9999997318003401
133,5,2022-08-25 00:00:00,Bharian,MTUC urges the full implementation of the 1955 Work Act starting September 1,0,[],[],2022,August,25,0.0,2,1,0.9999999999999999
134,6,2022-08-09 00:00:00, Theedgemalaysia,"Malaysia's unemployment rate down to 3.8% in June, lowest since Covid-19 pandemic struck | The Edge Markets",0,[],"['unemployment', -0.4404, 'lowest', -0.3818, 'struck', -0.25]",2022,August,09,-0.758,0,0,-0.9963364251
135,7,2022-07-29 00:00:00,Focus Malaysia,CPI alone may not be the best inflation gauge for Malaysia,0,"['best', 0.6369]","['alone', -0.25]",2022,July,29,-0.656,0,1,0.999999955347455
136,8,2022-07-25 00:00:00,Sinarharian,Malaysia's gross fixed capital formation recorded RM278.7 billion,0,[],[],2022,July,25,-0.477,0,1,0.933320702
137,9,2022-07-25 00:00:00,Bernama,Malaysia's Gross Fixed Capital Formation to hit RM278.7 billion in 2021 - Statistics,0,[],[],2022,July,25,-0.477,0,0,-0.9999883531589999
138,10,2022-07-01 00:00:00,Business Today,"Stories That Caught Our Attention; Global Credit Outlook More Negative This Year, US Economy Dwindled Worse-Than Expected 1.6% Last Quarter As Recession Fears Heighten And Malaysian Producer Price Index Record High In May",0,"['Credit', 0.3818]","['Negative', -0.5719, 'Recession', -0.4215, 'Fears', -0.4215]",2022,July,01,-0.79,0,1,0.9999999967849649
139,11,2022-07-01 00:00:00,Malaysia Dateline Amanah,"After the subsidy was abolished, the M40 group and SMEs did not get any help",0,[],[],2022,July,01,-0.309,0,0,-0.70805367
140,12,2022-06-28 00:00:00,Focus Malaysia,Food Insecurity: Where we went wrong (Part 1),0,[],"['Insecurity', -0.4215, 'wrong', -0.4767]",2022,June,28,-0.71,0,0,-0.9999962200747
141,13,2022-05-19 00:00:00,Theedgemalaysia,The urgent case for climate crisis mitigation in the National Recovery Plan,0,"['urgent', 0.2023]","['crisis', -0.6249]",2022,May,19,-0.511,0,0,-0.94141907
142,14,2022-05-04 00:00:00,Astro Awani,Shift in consumer purchasing behaviour as inflation hits,0,[],[],2022,May,04,0.0,2,0,-0.83353389
143,15,2022-05-04 00:00:00,Malaysia Gazette,Consumer purchasing behavior is declining following inflation,0,[],[],2022,May,04,0.0,2,1,0.982146432
144,16,2022-05-04 00:00:00,Sinarharian,Consumer purchasing behavior is declining following inflation,0,[],[],2022,May,04,0.0,2,1,0.982146432
145,17,2022-05-04 00:00:00,Bernama,Shift in consumer purchasing behaviour as inflation hits,0,[],[],2022,May,04,0.0,2,0,-0.83353389
146,18,2022-05-04 00:00:00,Bernama,Consumer purchasing behavior is declining following inflation,0,[],[],2022,May,04,0.0,2,1,0.982146432
147,19,2022-05-04 00:00:00,Thesundaily,Shift in consumer purchasing behaviour as inflation hits,0,[],[],2022,May,04,0.0,2,0,-0.83353389
148,20,2022-05-04 00:00:00,Malaysia Kini Bm,Consumer purchasing behavior is declining following inflation,0,[],[],2022,May,04,0.0,2,1,0.982146432
149,21,2022-04-27 00:00:00,Focus Malaysia,"From ringgit crash to bond rout . What's next, Mr Finance Minister",0,[],"['crash', -0.4019]",2022,April,27,-0.402,0,1,0.981691006
150,22,2022-04-04 00:00:00,Dagangnews.Com,"Higher minimum wage worsens unemployment, inflation? Not necessarily.",0,[],[],2022,April,04,-0.718,0,0,-0.9999983863431601
151,23,2022-04-04 00:00:00,Malaysia Gazette,"Minimum wage causes unemployment, high inflation? Not necessarily",0,[],[],2022,April,04,-0.44,0,0,-0.9999988058163
152,24,2022-03-21 00:00:00,Addin,Evidence PM Failed to Restore Economy,0,[],[],2022,March,21,-0.273,0,0,-0.9988109973399999
153,25,2022-03-21 00:00:00,Malaysia Kini Bm,"The country's economy is projected to be good, the PM denies failing to restore the economy",0,[],[],2022,March,21,-0.25,0,1,0.9854058968
154,26,2022-03-21 00:00:00,Umnoonline,"National Economy On Good Projection, PM Denies Failing To Restore Economy",0,[],[],2022,March,21,-0.25,0,0,-0.9983324772400001
155,27,2022-03-20 00:00:00,Sinarharian,"The country's economy is projected to be good, the PM denies failing to restore the economy",0,[],[],2022,March,20,-0.25,0,1,0.9854058968
156,28,2022-03-20 00:00:00,Malaysia Gazette,"The country's economy is projected to be good, the PM denies failing to restore the economy",0,[],[],2022,March,20,-0.25,0,1,0.9854058968
157,29,2022-03-20 00:00:00,Bernama,"The country's economy is projected to be good, the PM denies failing to restore the economy",0,[],[],2022,March,20,-0.25,0,1,0.9854058968
158,30,2022-03-20 00:00:00,Bernama,"The national economy is projected to be good, PN denies failing to restore the economy",0,[],[],2022,March,20,-0.25,0,0,-0.999981624433
159,31,2022-03-07 00:00:00,Business Today,"Country's Poverty Rate Has Decreased Significantly, Parliament",0,[],"['Poverty', -0.5106]",2022,March,07,-0.511,0,1,0.999883852464
160,32,2022-02-22 00:00:00,The Malaysian Reserve,Fresh graduates worst hit as minimum wage debate continues,0,"['Fresh', 0.3182]","['worst', -0.6249]",2022,February,22,-0.421,0,0,-0.99999997935568
161,33,2022-02-21 00:00:00,Theedgemalaysia,The State of the Nation: Malaysia's continuous struggle with foreign labour,0,[],"['struggle', -0.3182]",2022,February,21,-0.318,0,0,-0.999999966338052
